Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part, LCSC Part #
B1 B2 ,2,"Breadboard_400","panel:Proto_400","","1286-1185-ND",""
C1 C5 ,2,"10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","732-8820-1-ND","C88726"
C13 C14 C15 C16 ,4,"10nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","http://datasheets.avx.com/SR-Series.pdf","BC2662CT-ND","C263180"
C2 C6 C7 C8 C10 C11 ,6,".1uF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","","478-3188-ND","C84772"
C4 C12 ,2,"22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","732-8733-1-ND","C43346"
J1 ,1,"Conn_02x10_Odd_Even_Male","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","","S2011EC-10-ND","C492427"
J6 ,1,"Conn_02x08_Odd_Even_Female","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","","S7111-ND",""
J7 ,1,"Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","S2011EC-05-ND",""
JC1 ,1,"Eurorack Power Cable","","","H3CCS-1018G-ND",""
R1 R2 R3 R4 R6 R7 R8 R9 ,8,"5.6K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT5K60CT-ND","C119341"
R10 R11 R12 R13 ,4,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT1M00CT-ND","C433776"
R17 R18 ,2,"620","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","13-MFR-25FTE52-620RCT-ND","C713992"
RV1 RV2 ,2,"5K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","3296W-502LF-ND","C60620"
SC1 SC2 SC3 SC4 ,4,"Mounting Screw","","","335-1156-ND",""
SK1 SK2 ,2,"A_08-LC-TT","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.assmann-wsw.com/fileadmin/datasheets/ASS_0810_CO.pdf","609-4717-ND",""
TP1 TP2 TP3 TP4 TP9 TP10 TP11 ,7,"TestPoint","TestPoint:TestPoint_Keystone_5005-5009_Compact","","36-5006-ND",""
TP5 TP6 TP7 TP8 ,4,"TestPoint","16ga solid wire",""
U1 U2 ,2,"TL072","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf","296-1775-5-ND","C72124"
U3 U4 ,2,"LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","497-19621-ND","C14502"
