Reference,Quantity,Value,Digi-Key Part #
"B1, B2, ",2,Breadboard_400,1286-1185-ND
"RV1, RV2, ",2,5K,3296W-502LF-ND
"SC1, SC2, SC3, SC4, ",4,Mounting Screw,335-1156-ND
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, ",8,TestPoint,36-5006-ND
"SW4, ",1,MFS201N-9-Z,563-1565-ND
"SO1, SO2, SO3, SO4, ",4,LED Spacer,732-11596-ND
"D11, ",1,RED LED,732-5005-ND
"D9, ",1,GREEN LED,732-5007-ND
"D10, ",1,YELLOW LED,732-5010-ND
"D12, ",1,BLUE LED,732-5011-ND
"D1, D3, D5, D7, ",4,LED_RG,754-WP937SURKCGKW-ND
"SW1, SW2, SW3, ",3,SW_SPDT,EG1248-ND
"JC1, ",1,Eurorack Power Cable,H3CCS-1018G-ND
"J5, ",1,Conn_02x06_Odd_Even,S2211EC-06-ND
"J6, ",1,Conn_02x08_Odd_Even_Female,S7111-ND
