Ref,Val,Package,PosX,PosY,Rot,Side
"B1","Breadboard_400","Proto_400",67.750000,-78.000000,90.000000,top
"B2","Breadboard_400","Proto_400",123.600000,-78.000000,90.000000,top
"H5","MountingHole_Pad","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",110.700000,-140.750000,90.000000,top
"H6","MountingHole_Pad","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",139.000000,-140.750000,90.000000,top
"H7","MountingHole_Pad","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",52.400000,-140.750000,-90.000000,top
"H8","MountingHole_Pad","Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical",80.700000,-140.750000,-90.000000,top
"J6","Conn_02x08_Odd_Even_Female","PinHeader_2x08_P2.54mm_Vertical",86.800000,-125.540000,90.000000,top
"MULT1","Mult","EG1248",67.000000,-142.000000,90.000000,top
"MULT2","Mult","EG1248",95.700000,-142.000000,90.000000,top
"MULT3","Mult","EG1248",124.400000,-142.000000,90.000000,top
"SW3","Power","MFS201N−9−Z",63.750000,-126.000000,180.000000,top
"TP1","TestPoint","TestPoint_Keystone_5005-5009_Compact",43.400000,-147.450000,0.000000,top
"TP2","TestPoint","TestPoint_Keystone_5005-5009_Compact",60.950000,-147.450000,0.000000,top
"TP3","TestPoint","TestPoint_Keystone_5005-5009_Compact",102.200000,-147.450000,0.000000,top
"TP4","TestPoint","TestPoint_Keystone_5005-5009_Compact",119.500000,-147.450000,0.000000,top
"TP5","TestPoint","TestPoint_Keystone_5005-5009_Compact",71.870000,-147.450000,0.000000,top
"TP6","TestPoint","TestPoint_Keystone_5005-5009_Compact",89.500000,-147.450000,0.000000,top
"TP7","TestPoint","TestPoint_Keystone_5005-5009_Compact",130.500000,-147.450000,0.000000,top
"TP8","TestPoint","TestPoint_Keystone_5005-5009_Compact",147.800000,-147.450000,0.000000,top
"TP9","TestPoint","TestPoint_Keystone_5005-5009_Compact",55.500000,-155.500000,0.000000,top
"TP10","TestPoint","TestPoint_Keystone_5005-5009_Compact",67.500000,-155.500000,0.000000,top
"TP11","TestPoint","TestPoint_Keystone_5005-5009_Compact",123.000000,-155.500000,0.000000,top
"TP12","TestPoint","TestPoint_Keystone_5005-5009_Compact",135.000000,-155.500000,0.000000,top
