Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",120.396000,-128.270000,-90.000000,bottom
"C2","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.762000,-126.513500,-90.000000,bottom
"C3","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",109.220000,-126.238000,-90.000000,bottom
"C4","100nF","C_0603_1608Metric",142.494000,-128.270000,-90.000000,bottom
"C5","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.888000,-126.492000,-90.000000,bottom
"C6","100nF","C_0603_1608Metric",61.455000,-131.064000,180.000000,bottom
"C7","100nF","C_0603_1608Metric",72.149000,-135.482000,180.000000,bottom
"C8","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.572000,-126.238000,-90.000000,bottom
"C9","10nF","C_0603_1608Metric",62.230000,-133.350000,90.000000,bottom
"C10","10nF","C_0603_1608Metric",119.888000,-133.237000,90.000000,bottom
"C11","100nF","C_0603_1608Metric",119.113000,-130.964000,180.000000,bottom
"C12","100nF","C_0603_1608Metric",127.762000,-137.922000,90.000000,bottom
"C13","10nF","C_0603_1608Metric",71.374000,-131.672000,90.000000,bottom
"C14","10nF","C_0603_1608Metric",129.032000,-131.826000,90.000000,bottom
"J6","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",92.440000,-126.500000,90.000000,bottom
"R1","620","R_0603_1608Metric",41.402000,-124.968000,90.000000,bottom
"R2","620","R_0603_1608Metric",53.086000,-121.666000,90.000000,bottom
"R3","2.2K","R_0603_1608Metric",41.402000,-130.556000,-90.000000,bottom
"R4","2.2K","R_0603_1608Metric",53.086000,-130.556000,-90.000000,bottom
"R5","620","R_0603_1608Metric",120.396000,-123.698000,90.000000,bottom
"R6","620","R_0603_1608Metric",142.498000,-123.698000,90.000000,bottom
"R7","510","R_0603_1608Metric",59.881000,-134.112000,0.000000,bottom
"R8","1M","R_0603_1608Metric",63.754000,-137.731000,-90.000000,bottom
"R9","510","R_0603_1608Metric",119.189000,-135.536000,0.000000,bottom
"R10","1M","R_0603_1608Metric",121.158000,-138.176000,-90.000000,bottom
"R11","1M","R_0603_1608Metric",61.468000,-135.636000,180.000000,bottom
"R12","1M","R_0603_1608Metric",119.634000,-138.176000,-90.000000,bottom
"R13","510","R_0603_1608Metric",73.597000,-132.334000,180.000000,bottom
"R14","1M","R_0603_1608Metric",70.358000,-138.013000,-90.000000,bottom
"R15","510","R_0603_1608Metric",131.318000,-132.588000,180.000000,bottom
"R16","1M","R_0603_1608Metric",129.794000,-135.636000,0.000000,bottom
"R17","1M","R_0603_1608Metric",72.199000,-133.958000,0.000000,bottom
"R18","1M","R_0603_1608Metric",129.794000,-134.112000,0.000000,bottom
"U1","LM317","SOT-223-3_TabPin2",115.062000,-125.200000,180.000000,bottom
"U2","TL072CDR","SOIC-8_3.9x4.9mm_P1.27mm",66.802000,-133.350000,180.000000,bottom
"U3","LM317","SOT-223-3_TabPin2",137.208000,-125.200000,180.000000,bottom
"U4","TL072CDR","SOIC-8_3.9x4.9mm_P1.27mm",124.500000,-133.350000,180.000000,bottom
